Név;Kategória;Aliasok
"Díjmentes kontroll";"Általános tételek";"díjmentes kontroll|free recall|ingyenes kontroll"
"Díjmentes konzultáció";"Általános tételek";"díjmentes konzultáció|ingyenes konzultáció"
"Késői lemondási díj";"Általános tételek";"lemondási díj|no-show díj|késői lemondás"
"Készenléti díj (30 perc)";"Általános tételek";"készenléti|standby|on-call díj"
"Egyéb dokumentáció elkészítése páciens kérésére";"Általános tételek";"egyéb dokumentáció|kustom dokumentáció|igazolás"
"Pénzvisszafizetés";"Általános tételek";"refund|pénzvisszafizetés"
"Korábbi túlfizetés korrekciója";"Általános tételek";"túlfizetés korrekció|overpayment correction"
"Szállítási díj / csomagfeladás";"Általános tételek";"szállítási díj|csomagfeladás|posta díj"
"Egyéb tétel (manuális)";"Általános tételek";"egyéb|other|manuális tétel"
"Családtag kedvezmény (20%)";"Általános tételek";"családi kedvezmény|family discount 20"
"Testvérkedvezmény (50%)";"Általános tételek";"testvér kedvezmény|sibling discount 50"
"Dolgozói kedvezmény (20%)";"Általános tételek";"dolgozói kedvezmény|staff discount 20"
"Eseti kedvezmény (5%)";"Általános tételek";"eseti 5|alkalmi kedvezmény 5"
"Eseti kedvezmény (10%)";"Általános tételek";"eseti 10|alkalmi kedvezmény 10"
"Eseti kedvezmény (20%)";"Általános tételek";"eseti 20|alkalmi kedvezmény 20"
"Eseti kedvezmény (25%)";"Általános tételek";"eseti 25|alkalmi kedvezmény 25"
"Eseti kedvezmény (50%)";"Általános tételek";"eseti 50|alkalmi kedvezmény 50"
"Eseti kedvezmény (100% / térítésmentes)";"Általános tételek";"eseti 100|térítésmentes|gesture goodwill"
"Marketing kedvezmény (videó beleegyezésért)";"Általános tételek";"marketing kedvezmény|videó beleegyezés kedvezmény"
"Lenyomati díj előrefizetve";"Általános tételek";"lenyomati előleg|impression deposit"
"Garancia visszafizetés (NTI/Silensor stb.)";"Általános tételek";"garancia visszafizetés|warranty refund"
"NOGAG hányinger elleni por (5 db)";"Általános tételek";"nogag|hányinger elleni por|antiemetic powder"
